karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/assemblies/features/spring/pom.xml,appendedResourcesDirectory,${basedir}/../../../../etc/appended-resources
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/archetypes/assembly/pom.xml,archetype.version,3.0.1
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/tooling/karaf-maven-plugin/src/it/test-aggregate-features/aggregate-recursive-module-c/pom.xml,project.build.sourceEncoding,UTF-8
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/tooling/karaf-maven-plugin/pom.xml,appendedResourcesDirectory,${basedir}/../../etc/appended-resources
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/tooling/karaf-maven-plugin/pom.xml,plexus-utils.version,3.0.24
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/tooling/karaf-maven-plugin/pom.xml,jacoco-class-missed-count-maximum,1
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/tooling/karaf-maven-plugin/pom.xml,invoker.skip,
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/tooling/karaf-maven-plugin/pom.xml,mvn.opts,
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/tooling/karaf-maven-plugin/pom.xml,jacoco-class-instruction-covered-ratio,0.00
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/tooling/karaf-maven-plugin/pom.xml,jacoco-class-line-covered-ratio,0.00
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/tooling/karaf-maven-plugin/pom.xml,compiler.fork,
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/tooling/karaf-maven-plugin/src/it/test-assembly-prop-edits/pom.xml,project.build.sourceEncoding,UTF-8
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,jasypt.bundle.version,1.9.2_1
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,commons-fileupload.version,1.3.1
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,surefire.argLine,
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,hibernate.version,5.1.16.Final-redhat-00001
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,pax.tinybundle.version,3.0.0
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,aries.transaction.manager.version,1.3.3
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,aesh.readline.version,1.10
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,spring32.version,3.2.18.RELEASE_1
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,felix.utils.version,1.10.4
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,aries.application.management.version,1.0.0
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,felix.scr.webconsole.plugin.version,2.0.8
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,xalan.bundle.version,2.7.2_3
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,aries.jmx.api.version,1.1.5
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,commons-beanutils.version,1.9.2
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,atomikos.version,4.0.4
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,felix.httplite.version,0.1.6
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,aries.jpa.container.version,1.0.4
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,pax.base.version,1.5.0
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,aries.blueprint.spring.extender.version,0.4.0
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,felix.eventadmin.version,1.4.10
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,felix.webconsole.api.version,3.1.2
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,spring42.version,4.2.9.RELEASE_1
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,aries.util.version,1.1.3
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,jansi.version,1.17
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,servicemix.specs.version,2.9.0
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,equinox.coordinator.version,1.1.0.v20120522-1841
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,websocket.version,1.1
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,pax.cdi.version,1.0.0
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,felix.configadmin.version,1.9.0
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,cglib2.version,2.2.0
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,activemq.version,5.11.0.redhat-630356
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,aries.jmx.blueprint.api.version,1.2.0
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,commons-dbcp.version,1.4_3
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,geronimo.jta-spec.version,1.1.1
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,pax.jdbc.version,1.3.0
karaf,4.2.x.redhat-7-x,/tmp/clones/karaf/pom.xml,geronimo.transaction.manager.version,3.1.3
